Time [s], Analyzer Name, Decoded Protocol Result
0.000000000000000,I2C,Setup Write to [0x36] + NAK
0.000109992000000,I2C,Setup Read to [0x36] + NAK
0.000231136000000,I2C,Setup Write to [0x36] + NAK
0.000341136000000,I2C,Setup Read to [0x36] + NAK
0.000462032000000,I2C,Setup Write to [0x36] + NAK
0.000572036000000,I2C,Setup Read to [0x36] + NAK
0.001699672000000,I2C,Setup Write to [0x36] + ACK
0.001789672000000,I2C,0x30 + ACK
0.001879672000000,I2C,0x0A + ACK
0.001989672000000,I2C,Setup Read to [0x36] + ACK
0.002079672000000,I2C,0x56 + ACK
0.002169672000000,I2C,0x47 + NAK
0.002370624000000,I2C,Setup Write to [0x71] + NAK
0.002480628000000,I2C,Setup Read to [0x71] + NAK
0.002601636000000,I2C,Setup Write to [0x71] + NAK
0.002711640000000,I2C,Setup Read to [0x71] + NAK
0.002832532000000,I2C,Setup Write to [0x71] + NAK
0.002942532000000,I2C,Setup Read to [0x71] + NAK
0.003583948000000,I2C,Setup Write to [0x36] + ACK
0.003673948000000,I2C,0x01 + ACK
0.003763948000000,I2C,0x03 + ACK
0.003853948000000,I2C,0x01 + ACK
0.003978948000000,I2C,Setup Write to [0x36] + ACK
0.004068948000000,I2C,0x01 + ACK
0.004158948000000,I2C,0x00 + ACK
0.004248948000000,I2C,0x00 + ACK
0.033713836000000,I2C,Setup Write to [0x36] + ACK
0.033803836000000,I2C,0x01 + ACK
0.033893836000000,I2C,0x00 + ACK
0.033983836000000,I2C,0x00 + ACK
0.034103836000000,I2C,Setup Write to [0x36] + ACK
0.034193836000000,I2C,0x01 + ACK
0.034283836000000,I2C,0x03 + ACK
0.034373832000000,I2C,0x01 + ACK
0.034493836000000,I2C,Setup Write to [0x36] + ACK
0.034583832000000,I2C,0x30 + ACK
0.034673832000000,I2C,0x34 + ACK
0.034763832000000,I2C,0x1A + ACK
0.034883832000000,I2C,Setup Write to [0x36] + ACK
0.034973832000000,I2C,0x30 + ACK
0.035063832000000,I2C,0x35 + ACK
0.035153832000000,I2C,0x21 + ACK
0.035273832000000,I2C,Setup Write to [0x36] + ACK
0.035363828000000,I2C,0x30 + ACK
0.035453828000000,I2C,0x36 + ACK
0.035543828000000,I2C,0x62 + ACK
0.035663828000000,I2C,Setup Write to [0x36] + ACK
0.035753828000000,I2C,0x30 + ACK
0.035843828000000,I2C,0x3C + ACK
0.035933828000000,I2C,0x11 + ACK
0.036053828000000,I2C,Setup Write to [0x36] + ACK
0.036143828000000,I2C,0x31 + ACK
0.036233828000000,I2C,0x06 + ACK
0.036323824000000,I2C,0xF5 + ACK
0.036443828000000,I2C,Setup Write to [0x36] + ACK
0.036533828000000,I2C,0x38 + ACK
0.036623824000000,I2C,0x21 + ACK
0.036713824000000,I2C,0x00 + ACK
0.036833824000000,I2C,Setup Write to [0x36] + ACK
0.036923824000000,I2C,0x38 + ACK
0.037013824000000,I2C,0x20 + ACK
0.037103824000000,I2C,0x00 + ACK
0.037223824000000,I2C,Setup Write to [0x36] + ACK
0.037313824000000,I2C,0x38 + ACK
0.037403824000000,I2C,0x27 + ACK
0.037493820000000,I2C,0xEC + ACK
0.037613824000000,I2C,Setup Write to [0x36] + ACK
0.037703824000000,I2C,0x37 + ACK
0.037793820000000,I2C,0x0C + ACK
0.037883820000000,I2C,0x03 + ACK
0.038003820000000,I2C,Setup Write to [0x36] + ACK
0.038093820000000,I2C,0x36 + ACK
0.038183820000000,I2C,0x12 + ACK
0.038273820000000,I2C,0x5B + ACK
0.038393820000000,I2C,Setup Write to [0x36] + ACK
0.038483820000000,I2C,0x36 + ACK
0.038573820000000,I2C,0x18 + ACK
0.038663816000000,I2C,0x04 + ACK
0.038783820000000,I2C,Setup Write to [0x36] + ACK
0.038873816000000,I2C,0x50 + ACK
0.038963816000000,I2C,0x00 + ACK
0.039053816000000,I2C,0x06 + ACK
0.039173816000000,I2C,Setup Write to [0x36] + ACK
0.039263816000000,I2C,0x50 + ACK
0.039353816000000,I2C,0x02 + ACK
0.039443816000000,I2C,0x40 + ACK
0.039563816000000,I2C,Setup Write to [0x36] + ACK
0.039653816000000,I2C,0x50 + ACK
0.039743812000000,I2C,0x03 + ACK
0.039833812000000,I2C,0x08 + ACK
0.039953812000000,I2C,Setup Write to [0x36] + ACK
0.040043812000000,I2C,0x5A + ACK
0.040133812000000,I2C,0x00 + ACK
0.040223812000000,I2C,0x08 + ACK
0.040343812000000,I2C,Setup Write to [0x36] + ACK
0.040433812000000,I2C,0x30 + ACK
0.040523812000000,I2C,0x00 + ACK
0.040613812000000,I2C,0x00 + ACK
0.040733812000000,I2C,Setup Write to [0x36] + ACK
0.040823808000000,I2C,0x30 + ACK
0.040913808000000,I2C,0x01 + ACK
0.041003808000000,I2C,0x00 + ACK
0.041123808000000,I2C,Setup Write to [0x36] + ACK
0.041213808000000,I2C,0x30 + ACK
0.041303808000000,I2C,0x02 + ACK
0.041393808000000,I2C,0x00 + ACK
0.041513808000000,I2C,Setup Write to [0x36] + ACK
0.041603808000000,I2C,0x30 + ACK
0.041693804000000,I2C,0x16 + ACK
0.041783808000000,I2C,0x08 + ACK
0.041903808000000,I2C,Setup Write to [0x36] + ACK
0.041993804000000,I2C,0x30 + ACK
0.042083804000000,I2C,0x17 + ACK
0.042173804000000,I2C,0xE0 + ACK
0.042293804000000,I2C,Setup Write to [0x36] + ACK
0.042383804000000,I2C,0x30 + ACK
